time_step,Aspect,value
53,blocked_flow,13511
53,impeded_flow,168383
53,reduced_flow,604317
53,diffuse_flow,994310
53,intensified_flow,339085
53,channelized_flow,109964
54,blocked_flow,
54,impeded_flow,
54,reduced_flow,
54,diffuse_flow,
54,intensified_flow,
54,channelized_flow,
55,blocked_flow,
55,impeded_flow,
55,reduced_flow,
55,diffuse_flow,
55,intensified_flow,
55,channelized_flow,
56,blocked_flow,
56,impeded_flow,
56,reduced_flow,
56,diffuse_flow,
56,intensified_flow,
56,channelized_flow,
57,blocked_flow,
57,impeded_flow,
57,reduced_flow,
57,diffuse_flow,
57,intensified_flow,
57,channelized_flow,
58,blocked_flow,
58,impeded_flow,
58,reduced_flow,
58,diffuse_flow,
58,intensified_flow,
58,channelized_flow,
59,blocked_flow,
59,impeded_flow,
59,reduced_flow,
59,diffuse_flow,
59,intensified_flow,
59,channelized_flow,
60,blocked_flow,
60,impeded_flow,
60,reduced_flow,
60,diffuse_flow,
60,intensified_flow,
60,channelized_flow,
61,blocked_flow,
61,impeded_flow,
61,reduced_flow,
61,diffuse_flow,
61,intensified_flow,
61,channelized_flow,
62,blocked_flow,
62,impeded_flow,
62,reduced_flow,
62,diffuse_flow,
62,intensified_flow,
62,channelized_flow,
63,blocked_flow,
63,impeded_flow,
63,reduced_flow,
63,diffuse_flow,
63,intensified_flow,
63,channelized_flow,
64,blocked_flow,
64,impeded_flow,
64,reduced_flow,
64,diffuse_flow,
64,intensified_flow,
64,channelized_flow,
65,blocked_flow,
65,impeded_flow,
65,reduced_flow,
65,diffuse_flow,
65,intensified_flow,
65,channelized_flow,
66,blocked_flow,
66,impeded_flow,
66,reduced_flow,
66,diffuse_flow,
66,intensified_flow,
66,channelized_flow,
67,blocked_flow,
67,impeded_flow,
67,reduced_flow,
67,diffuse_flow,
67,intensified_flow,
67,channelized_flow,
68,blocked_flow,
68,impeded_flow,
68,reduced_flow,
68,diffuse_flow,
68,intensified_flow,
68,channelized_flow,
69,blocked_flow,
69,impeded_flow,
69,reduced_flow,
69,diffuse_flow,
69,intensified_flow,
69,channelized_flow,
70,blocked_flow,
70,impeded_flow,
70,reduced_flow,
70,diffuse_flow,
70,intensified_flow,
70,channelized_flow,
71,blocked_flow,
71,impeded_flow,
71,reduced_flow,
71,diffuse_flow,
71,intensified_flow,
71,channelized_flow,
72,blocked_flow,
72,impeded_flow,
72,reduced_flow,
72,diffuse_flow,
72,intensified_flow,
72,channelized_flow,
73,blocked_flow,
73,impeded_flow,
73,reduced_flow,
73,diffuse_flow,
73,intensified_flow,
73,channelized_flow,
74,blocked_flow,
74,impeded_flow,
74,reduced_flow,
74,diffuse_flow,
74,intensified_flow,
74,channelized_flow,
75,blocked_flow,
75,impeded_flow,
75,reduced_flow,
75,diffuse_flow,
75,intensified_flow,
75,channelized_flow,
76,blocked_flow,
76,impeded_flow,
76,reduced_flow,
76,diffuse_flow,
76,intensified_flow,
76,channelized_flow,
77,blocked_flow,
77,impeded_flow,
77,reduced_flow,
77,diffuse_flow,
77,intensified_flow,
77,channelized_flow,
78,blocked_flow,
78,impeded_flow,
78,reduced_flow,
78,diffuse_flow,
