time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
43,LUT22,212.655,5529.03,2764.515
43,LUT23,282.711,42689.359,21344.679
44,LUT21,115.301,53070400.0,26535200.0
44,LUT22,212.655,5529.03,2764.515
44,LUT23,282.711,41841.227,20920.613
45,LUT21,115.301,53224672.0,26612336.0
45,LUT22,212.655,6166.995,3083.497
45,LUT23,282.711,41558.516,20779.258
46,LUT21,115.301,53378136.0,26689068.0
46,LUT22,212.655,6804.96,3402.48
46,LUT23,282.711,41841.227,20920.613
47,LUT21,115.301,53531720.0,26765860.0
47,LUT22,212.655,7655.58,3827.79
47,LUT23,282.711,42123.938,21061.969
48,LUT21,115.301,53674460.0,26837230.0
48,LUT22,212.655,8931.51,4465.755
48,LUT23,282.711,39014.117,19507.058
49,LUT21,115.301,53828156.0,26914078.0
49,LUT22,212.655,8718.854,4359.427
49,LUT23,282.711,39296.828,19648.414
50,LUT21,115.301,53981740.0,26990870.0
50,LUT22,212.655,9144.165,4572.083
50,LUT23,282.711,39579.539,19789.769
51,LUT21,115.301,54135552.0,27067776.0
51,LUT22,212.655,9144.165,4572.083
51,LUT23,282.711,40993.094,20496.547
52,LUT21,115.301,54277716.0,27138858.0
52,LUT22,212.655,8931.51,4465.755
52,LUT23,282.711,42123.938,21061.969
53,LUT21,115.301,54431644.0,27215822.0
53,LUT22,212.655,8293.545,4146.773
53,LUT23,282.711,42972.07,21486.035
54,LUT21,115.301,54670664.0,27335332.0
54,LUT22,212.655,7230.27,3615.135
54,LUT23,282.711,41558.516,20779.258
55,LUT21,115.301,54899188.0,27449594.0
55,LUT22,212.655,6379.65,3189.825
55,LUT23,282.711,41841.227,20920.613
56,LUT21,115.301,55140628.0,27570314.0
56,LUT22,212.655,5529.03,2764.515
56,LUT23,282.711,39014.117,19507.058
57,LUT21,115.301,55383336.0,27691668.0
57,LUT22,212.655,4465.755,2232.878
57,LUT23,282.711,40144.961,20072.481
58,LUT21,115.301,55615208.0,27807604.0
58,LUT22,212.655,4465.755,2232.878
58,LUT23,282.711,39862.25,19931.125
59,LUT21,115.301,55860684.0,27930342.0
59,LUT22,212.655,4253.1,2126.55
59,LUT23,282.711,39579.539,19789.769
60,LUT21,115.301,56095436.0,28047718.0
60,LUT22,212.655,4253.1,2126.55
60,LUT23,282.711,40144.961,20072.481
61,LUT21,115.301,56343332.0,28171666.0
61,LUT22,212.655,4040.445,2020.223
61,LUT23,282.711,39014.117,19507.058
62,LUT21,115.301,56580164.0,28290082.0
62,LUT22,212.655,4465.755,2232.878
62,LUT23,282.711,38731.406,19365.703
63,LUT21,115.301,56818720.0,28409360.0
63,LUT22,212.655,4253.1,2126.55
63,LUT23,282.711,37317.852,18658.926
64,LUT21,115.301,57148480.0,28574240.0
64,LUT22,212.655,4040.445,2020.223
64,LUT23,282.711,33077.188,16538.594
65,LUT21,115.301,57481932.0,28740966.0
65,LUT22,212.655,4040.445,2020.223
65,LUT23,282.711,33077.188,16538.594
66,LUT21,115.301,57807196.0,28903598.0
66,LUT22,212.655,3827.79,1913.895
66,LUT23,282.711,31380.92,15690.46
67,LUT21,115.301,58148832.0,29074416.0
67,LUT22,212.655,3615.135,1807.568
67,LUT23,282.711,31663.633,15831.817
68,LUT21,115.301,58481820.0,29240910.0
68,LUT22,212.655,4040.445,2020.223
68,LUT23,282.711,30250.076,15125.038
69,LUT21,115.301,58832220.0,29416110.0
69,LUT22,212.655,3615.135,1807.568
69,LUT23,282.711,29967.365,14983.683
70,LUT21,115.301,59173860.0,29586930.0
70,LUT22,212.655,3615.135,1807.568
70,LUT23,282.711,30250.076,15125.038
71,LUT21,115.301,59519300.0,29759650.0
71,LUT22,212.655,3827.79,1913.895
71,LUT23,282.711,30532.787,15266.394
72,LUT21,115.301,59869816.0,29934908.0
72,LUT22,212.655,4040.445,2020.223
72,LUT23,282.711,28271.1,14135.55
73,LUT21,115.301,60224364.0,30112182.0
73,LUT22,212.655,4253.1,2126.55
73,LUT23,282.711,27422.967,13711.484
74,LUT21,115.301,60636680.0,30318340.0
74,LUT22,212.655,4040.445,2020.223
74,LUT23,282.711,26292.123,13146.061
75,LUT21,115.301,61055916.0,30527958.0
75,LUT22,212.655,3615.135,1807.568
75,LUT23,282.711,26574.834,13287.417
76,LUT21,115.301,61482532.0,30741266.0
76,LUT22,212.655,3615.135,1807.568
76,LUT23,282.711,26292.123,13146.061
77,LUT21,115.301,61916408.0,30958204.0
77,LUT22,212.655,3402.48,1701.24
77,LUT23,282.711,26574.834,13287.417
78,LUT21,115.301,62344060.0,31172030.0
78,LUT22,212.655,3827.79,1913.895
78,LUT23,282.711,26009.412,13004.706
79,LUT21,115.301,62779552.0,31389776.0
