row_0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,19
1,4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11761,11668,103887,86613,0,0,0,0,0,0,0,0,0,4,0
3,11782,0,201184,0,0,0,0,0,0,0,0,0,0,0,0
4,11781,0,0,201332,0,0,0,0,0,0,0,0,0,0,0
5,6219,0,0,0,119725,0,0,0,0,0,0,0,0,0,0
6,355,0,0,0,0,4029,0,0,0,0,0,0,0,0,0
7,10,0,0,0,0,0,137,0,0,0,0,0,0,0,0
8,2503,0,0,0,0,0,0,63045,0,0,0,0,0,0,0
9,3359,0,0,0,0,0,0,302318,456414,0,0,0,0,0,0
10,15,0,0,0,0,0,0,0,0,936,0,0,0,0,0
11,275,0,0,0,0,0,0,0,0,0,18476,0,0,0,0
12,82,0,0,0,0,0,0,0,0,0,0,22808,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,0
19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,31650
