time_step,LUT_code,demand
65,LUT02,14278
65,LUT03,484260
65,LUT04,376342
65,LUT05,15
66,LUT01,67103
66,LUT02,14305
66,LUT03,487054
66,LUT04,377469
66,LUT05,13
67,LUT01,67102
67,LUT02,14335
67,LUT03,489987
67,LUT04,378700
67,LUT05,11
68,LUT01,67102
68,LUT02,14365
68,LUT03,492845
68,LUT04,379867
68,LUT05,10
69,LUT01,67101
69,LUT02,14399
69,LUT03,495850
69,LUT04,381140
69,LUT05,8
70,LUT01,67101
70,LUT02,14428
70,LUT03,498784
70,LUT04,382352
70,LUT05,7
71,LUT01,67100
71,LUT02,14459
71,LUT03,501749
71,LUT04,383582
71,LUT05,6
72,LUT01,67100
72,LUT02,14492
72,LUT03,504756
72,LUT04,384834
72,LUT05,6
73,LUT01,67099
73,LUT02,14523
73,LUT03,507800
73,LUT04,386110
73,LUT05,5
74,LUT01,67051
74,LUT02,14570
74,LUT03,511329
74,LUT04,387745
74,LUT05,4
75,LUT01,67050
75,LUT02,14617
75,LUT03,514918
75,LUT04,389420
75,LUT05,4
76,LUT01,67049
76,LUT02,14665
76,LUT03,518570
76,LUT04,391132
76,LUT05,3
77,LUT01,67048
77,LUT02,14713
77,LUT03,522285
77,LUT04,392879
77,LUT05,3
78,LUT01,67047
78,LUT02,14761
78,LUT03,525946
78,LUT04,394579
78,LUT05,2
79,LUT01,67047
79,LUT02,14811
79,LUT03,529673
79,LUT04,396319
79,LUT05,2
80,LUT01,67046
80,LUT02,14865
80,LUT03,533588
80,LUT04,398191
80,LUT05,2
81,LUT01,67045
81,LUT02,14918
81,LUT03,537453
81,LUT04,400014
81,LUT05,2
82,LUT01,67044
82,LUT02,14971
82,LUT03,541387
82,LUT04,401882
82,LUT05,1
83,LUT01,67043
83,LUT02,15022
83,LUT03,545269
83,LUT04,403698
83,LUT05,1
