time_step,LUT_code,pixels,percentage
41,LUT01,43057,2.57
41,LUT02,14215,0.85
41,LUT03,236449,14.09
41,LUT04,172046,10.25
41,LUT05,1,0.0
42,LUT01,43057,2.57
42,LUT02,14200,0.85
42,LUT03,236664,14.1
42,LUT04,172061,10.25
42,LUT05,1,0.0
43,LUT01,43057,2.57
43,LUT02,14186,0.85
43,LUT03,236847,14.11
43,LUT04,172083,10.25
43,LUT05,1,0.0
44,LUT01,43058,2.57
44,LUT02,14172,0.84
44,LUT03,237013,14.12
44,LUT04,172105,10.25
44,LUT05,0,0.0
45,LUT01,43058,2.57
45,LUT02,14157,0.84
45,LUT03,237197,14.13
45,LUT04,172122,10.25
45,LUT05,0,0.0
46,LUT01,43057,2.57
46,LUT02,14143,0.84
46,LUT03,237382,14.14
46,LUT04,172139,10.26
46,LUT05,0,0.0
47,LUT01,43058,2.57
47,LUT02,14151,0.84
47,LUT03,237665,14.16
47,LUT04,172087,10.25
47,LUT05,0,0.0
48,LUT01,43058,2.57
48,LUT02,14157,0.84
48,LUT03,237956,14.18
48,LUT04,172086,10.25
48,LUT05,0,0.0
49,LUT01,43059,2.57
49,LUT02,14166,0.84
49,LUT03,238168,14.19
49,LUT04,172233,10.26
49,LUT05,0,0.0
50,LUT01,43059,2.57
50,LUT02,14174,0.84
50,LUT03,238439,14.21
50,LUT04,172280,10.26
50,LUT05,0,0.0
51,LUT01,43059,2.57
51,LUT02,14179,0.84
51,LUT03,238673,14.22
51,LUT04,172238,10.26
51,LUT05,0,0.0
52,LUT01,43065,2.57
52,LUT02,14189,0.85
52,LUT03,238899,14.23
52,LUT04,172256,10.26
52,LUT05,0,0.0
53,LUT01,43066,2.57
53,LUT02,14196,0.85
53,LUT03,239122,14.25
53,LUT04,172270,10.26
53,LUT05,0,0.0
54,LUT01,43065,2.57
54,LUT02,14206,0.85
54,LUT03,239399,14.26
54,LUT04,172314,10.27
54,LUT05,0,0.0
55,LUT01,43065,2.57
55,LUT02,14210,0.85
55,LUT03,239619,14.28
55,LUT04,172343,10.27
55,LUT05,0,0.0
56,LUT01,43065,2.57
56,LUT02,14219,0.85
56,LUT03,239843,14.29
56,LUT04,172472,10.28
56,LUT05,0,0.0
57,LUT01,43065,2.57
57,LUT02,14248,0.85
57,LUT03,240190,14.31
57,LUT04,172692,10.29
57,LUT05,0,0.0
58,LUT01,43067,2.57
58,LUT02,14278,0.85
58,LUT03,240517,14.33
58,LUT04,172747,10.29
58,LUT05,0,0.0
59,LUT01,43068,2.57
59,LUT02,14305,0.85
59,LUT03,240875,14.35
59,LUT04,172803,10.3
59,LUT05,0,0.0
60,LUT01,43067,2.57
60,LUT02,14335,0.85
60,LUT03,241229,14.37
60,LUT04,172943,10.3
60,LUT05,0,0.0
61,LUT01,43068,2.57
61,LUT02,14365,0.86
61,LUT03,241564,14.39
61,LUT04,173160,10.32
61,LUT05,0,0.0
62,LUT01,43069,2.57
62,LUT02,14399,0.86
62,LUT03,241888,14.41
62,LUT04,173298,10.32
62,LUT05,0,0.0
63,LUT01,43069,2.57
63,LUT02,14428,0.86
63,LUT03,242099,14.42
63,LUT04,173443,10.33
63,LUT05,0,0.0
64,LUT01,43070,2.57
64,LUT02,14459,0.86
64,LUT03,242291,14.44
64,LUT04,173865,10.36
64,LUT05,0,0.0
65,LUT01,43069,2.57
65,LUT02,14492,0.86
65,LUT03,242542,14.45
65,LUT04,173991,10.37
65,LUT05,0,0.0
66,LUT01,43069,2.57
66,LUT02,14523,0.87
66,LUT03,242803,14.47
66,LUT04,174070,10.37
66,LUT05,0,0.0
67,LUT01,43069,2.57
67,LUT02,14570,0.87
67,LUT03,243112,14.48
67,LUT04,174494,10.4
67,LUT05,0,0.0
68,LUT01,43070,2.57
68,LUT02,14617,0.87
68,LUT03,243347,14.5
68,LUT04,174665,10.41
68,LUT05,0,0.0
69,LUT01,43071,2.57
69,LUT02,14665,0.87
69,LUT03,243568,14.51
69,LUT04,174548,10.4
69,LUT05,0,0.0
70,LUT01,43070,2.57
70,LUT02,14713,0.88
70,LUT03,243776,14.52
70,LUT04,174376,10.39
70,LUT05,0,0.0
71,LUT01,43070,2.57
71,LUT02,14761,0.88
71,LUT03,243891,14.53
71,LUT04,174143,10.37
71,LUT05,0,0.0
72,LUT01,43071,2.57
72,LUT02,14811,0.88
72,LUT03,244004,14.54
72,LUT04,173888,10.36
72,LUT05,0,0.0
73,LUT01,43071,2.57
73,LUT02,14865,0.89
73,LUT03,244085,14.54
73,LUT04,173560,10.34
73,LUT05,0,0.0
74,LUT01,43072,2.57
74,LUT02,14918,0.89
74,LUT03,243968,14.53
74,LUT04,173226,10.32
74,LUT05,0,0.0
75,LUT01,43071,2.57
75,LUT02,14971,0.89
75,LUT03,243851,14.53
75,LUT04,172910,10.3
75,LUT05,0,0.0
76,LUT01,43072,2.57
76,LUT02,15022,0.89
76,LUT03,243802,14.53
76,LUT04,172613,10.28
76,LUT05,0,0.0
