time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
43,LUT22,210.799,6956.367,3478.184
43,LUT23,281.512,39130.168,19565.084
44,LUT21,115.523,53172580.0,26586290.0
44,LUT22,210.799,6534.769,3267.385
44,LUT23,281.512,38848.656,19424.328
45,LUT21,115.523,53327152.0,26663576.0
45,LUT22,210.799,5691.573,2845.787
45,LUT23,281.512,40256.215,20128.107
46,LUT21,115.523,53480912.0,26740456.0
46,LUT22,210.799,5691.573,2845.787
46,LUT23,281.512,40256.215,20128.107
47,LUT21,115.523,53634788.0,26817394.0
47,LUT22,210.799,6113.171,3056.586
47,LUT23,281.512,40819.238,20409.619
48,LUT21,115.523,53777808.0,26888904.0
48,LUT22,210.799,6534.769,3267.385
48,LUT23,281.512,38567.145,19283.572
49,LUT21,115.523,53931800.0,26965900.0
49,LUT22,210.799,5480.774,2740.387
49,LUT23,281.512,39411.68,19705.84
50,LUT21,115.523,54085676.0,27042838.0
50,LUT22,210.799,6534.769,3267.385
50,LUT23,281.512,38848.656,19424.328
51,LUT21,115.523,54239784.0,27119892.0
51,LUT22,210.799,7588.764,3794.382
51,LUT23,281.512,39693.191,19846.595
52,LUT21,115.523,54382224.0,27191112.0
52,LUT22,210.799,8010.362,4005.181
52,LUT23,281.512,41382.262,20691.131
53,LUT21,115.523,54536444.0,27268222.0
53,LUT22,210.799,8221.161,4110.581
53,LUT23,281.512,42226.801,21113.4
54,LUT21,115.523,54775924.0,27387962.0
54,LUT22,210.799,8010.362,4005.181
54,LUT23,281.512,42226.801,21113.4
55,LUT21,115.523,55004892.0,27502446.0
55,LUT22,210.799,8010.362,4005.181
55,LUT23,281.512,41382.262,20691.131
56,LUT21,115.523,55246796.0,27623398.0
56,LUT22,210.799,7377.965,3688.983
56,LUT23,281.512,38848.656,19424.328
57,LUT21,115.523,55489972.0,27744986.0
57,LUT22,210.799,5059.176,2529.588
57,LUT23,281.512,39974.703,19987.352
58,LUT21,115.523,55722288.0,27861144.0
58,LUT22,210.799,4637.578,2318.789
58,LUT23,281.512,38285.633,19142.817
59,LUT21,115.523,55968236.0,27984118.0
59,LUT22,210.799,4005.181,2002.591
59,LUT23,281.512,38285.633,19142.817
