time_step,class,pixels,percentage
21,gross_minus_net_disturbed_forest,6520,0.39
22,gross_undisturbed_forest,3280230,195.43
22,gross_disturbed_forest,1224128,72.93
22,net_undisturbed_forest,3279564,195.39
22,net_disturbed_forest,1215768,72.43
22,gross_minus_net_undisturbed_forest,666,0.04
22,gross_minus_net_disturbed_forest,8360,0.5
23,gross_undisturbed_forest,3280221,195.43
23,gross_disturbed_forest,1223136,72.87
23,net_undisturbed_forest,3279555,195.39
23,net_disturbed_forest,1213464,72.3
23,gross_minus_net_undisturbed_forest,666,0.04
23,gross_minus_net_disturbed_forest,9672,0.58
24,gross_undisturbed_forest,3280212,195.43
24,gross_disturbed_forest,1221728,72.79
24,net_undisturbed_forest,3279546,195.39
24,net_disturbed_forest,1218224,72.58
24,gross_minus_net_undisturbed_forest,666,0.04
24,gross_minus_net_disturbed_forest,3504,0.21
25,gross_undisturbed_forest,3280176,195.42
25,gross_disturbed_forest,1222536,72.84
25,net_undisturbed_forest,3279510,195.38
25,net_disturbed_forest,1220800,72.73
25,gross_minus_net_undisturbed_forest,666,0.04
25,gross_minus_net_disturbed_forest,1736,0.1
26,gross_undisturbed_forest,3280167,195.42
26,gross_disturbed_forest,1223200,72.88
26,net_undisturbed_forest,3279501,195.38
26,net_disturbed_forest,1221920,72.8
26,gross_minus_net_undisturbed_forest,666,0.04
26,gross_minus_net_disturbed_forest,1280,0.08
27,gross_undisturbed_forest,3280167,195.42
27,gross_disturbed_forest,1223832,72.91
27,net_undisturbed_forest,3279501,195.38
27,net_disturbed_forest,1222736,72.85
27,gross_minus_net_undisturbed_forest,666,0.04
27,gross_minus_net_disturbed_forest,1096,0.07
28,gross_undisturbed_forest,3280149,195.42
28,gross_disturbed_forest,1224136,72.93
28,net_undisturbed_forest,3279483,195.38
28,net_disturbed_forest,1223208,72.88
28,gross_minus_net_undisturbed_forest,666,0.04
28,gross_minus_net_disturbed_forest,928,0.06
29,gross_undisturbed_forest,3280113,195.42
29,gross_disturbed_forest,1225168,72.99
29,net_undisturbed_forest,3279447,195.38
29,net_disturbed_forest,1224336,72.94
29,gross_minus_net_undisturbed_forest,666,0.04
29,gross_minus_net_disturbed_forest,832,0.05
30,gross_undisturbed_forest,3280068,195.42
30,gross_disturbed_forest,1225712,73.02
30,net_undisturbed_forest,3279402,195.38
30,net_disturbed_forest,1225000,72.98
30,gross_minus_net_undisturbed_forest,666,0.04
30,gross_minus_net_disturbed_forest,712,0.04
31,gross_undisturbed_forest,3280041,195.42
31,gross_disturbed_forest,1222568,72.84
31,net_undisturbed_forest,3279375,195.38
31,net_disturbed_forest,1221864,72.8
31,gross_minus_net_undisturbed_forest,666,0.04
31,gross_minus_net_disturbed_forest,704,0.04
32,gross_undisturbed_forest,3279978,195.41
32,gross_disturbed_forest,1217320,72.52
32,net_undisturbed_forest,3279312,195.37
32,net_disturbed_forest,1216584,72.48
32,gross_minus_net_undisturbed_forest,666,0.04
32,gross_minus_net_disturbed_forest,736,0.04
33,gross_undisturbed_forest,3278817,195.34
33,gross_disturbed_forest,1208104,71.98
33,net_undisturbed_forest,3278151,195.3
33,net_disturbed_forest,1207352,71.93
33,gross_minus_net_undisturbed_forest,666,0.04
33,gross_minus_net_disturbed_forest,752,0.04
34,gross_undisturbed_forest,3278745,195.34
34,gross_disturbed_forest,1206608,71.89
34,net_undisturbed_forest,3278079,195.3
34,net_disturbed_forest,1205848,71.84
34,gross_minus_net_undisturbed_forest,666,0.04
34,gross_minus_net_disturbed_forest,760,0.05
35,gross_undisturbed_forest,3278565,195.33
35,gross_disturbed_forest,1204896,71.78
35,net_undisturbed_forest,3277899,195.29
35,net_disturbed_forest,1204096,71.74
35,gross_minus_net_undisturbed_forest,666,0.04
35,gross_minus_net_disturbed_forest,800,0.05
36,gross_undisturbed_forest,3278439,195.32
36,gross_disturbed_forest,1202512,71.64
36,net_undisturbed_forest,3277773,195.28
36,net_disturbed_forest,1201704,71.59
36,gross_minus_net_undisturbed_forest,666,0.04
36,gross_minus_net_disturbed_forest,808,0.05
37,gross_undisturbed_forest,3278007,195.3
37,gross_disturbed_forest,1198264,71.39
37,net_undisturbed_forest,3277341,195.26
37,net_disturbed_forest,1197384,71.34
37,gross_minus_net_undisturbed_forest,666,0.04
37,gross_minus_net_disturbed_forest,880,0.05
38,gross_undisturbed_forest,3277863,195.29
38,gross_disturbed_forest,1193864,71.13
38,net_undisturbed_forest,3277197,195.25
38,net_disturbed_forest,1192968,71.07
38,gross_minus_net_undisturbed_forest,666,0.04
38,gross_minus_net_disturbed_forest,896,0.05
39,gross_undisturbed_forest,3277629,195.27
39,gross_disturbed_forest,1188944,70.83
39,net_undisturbed_forest,3276963,195.23
39,net_disturbed_forest,1188088,70.78
39,gross_minus_net_undisturbed_forest,666,0.04
39,gross_minus_net_disturbed_forest,856,0.05
40,gross_undisturbed_forest,3277359,195.26
40,gross_disturbed_forest,1187128,70.73
40,net_undisturbed_forest,3276693,195.22
40,net_disturbed_forest,1186296,70.68
40,gross_minus_net_undisturbed_forest,666,0.04
40,gross_minus_net_disturbed_forest,832,0.05
41,gross_undisturbed_forest,3277017,195.24
41,gross_disturbed_forest,1185744,70.64
41,net_undisturbed_forest,3276351,195.2
41,net_disturbed_forest,1184944,70.6
41,gross_minus_net_undisturbed_forest,666,0.04
41,gross_minus_net_disturbed_forest,800,0.05
42,gross_undisturbed_forest,3276846,195.23
42,gross_disturbed_forest,1184832,70.59
42,net_undisturbed_forest,3276180,195.19
42,net_disturbed_forest,1184040,70.54
42,gross_minus_net_undisturbed_forest,666,0.04
42,gross_minus_net_disturbed_forest,792,0.05
43,gross_undisturbed_forest,3276297,195.19
43,gross_disturbed_forest,1173704,69.93
43,net_undisturbed_forest,3275631,195.15
43,net_disturbed_forest,1172888,69.88
43,gross_minus_net_undisturbed_forest,666,0.04
43,gross_minus_net_disturbed_forest,816,0.05
44,gross_undisturbed_forest,3276288,195.19
44,gross_disturbed_forest,1171392,69.79
44,net_undisturbed_forest,3275622,195.15
44,net_disturbed_forest,1170560,69.74
44,gross_minus_net_undisturbed_forest,666,0.04
44,gross_minus_net_disturbed_forest,832,0.05
45,gross_undisturbed_forest,3276234,195.19
45,gross_disturbed_forest,1169312,69.66
45,net_undisturbed_forest,3275568,195.15
45,net_disturbed_forest,1168432,69.61
45,gross_minus_net_undisturbed_forest,666,0.04
45,gross_minus_net_disturbed_forest,880,0.05
46,gross_undisturbed_forest,3276162,195.19
46,gross_disturbed_forest,1167128,69.53
46,net_undisturbed_forest,3275496,195.15
46,net_disturbed_forest,1166200,69.48
46,gross_minus_net_undisturbed_forest,666,0.04
46,gross_minus_net_disturbed_forest,928,0.06
47,gross_undisturbed_forest,3276072,195.18
47,gross_disturbed_forest,1164856,69.4
47,net_undisturbed_forest,3275406,195.14
47,net_disturbed_forest,1163920,69.34
47,gross_minus_net_undisturbed_forest,666,0.04
47,gross_minus_net_disturbed_forest,936,0.06
48,gross_undisturbed_forest,3275982,195.17
48,gross_disturbed_forest,1162872,69.28
48,net_undisturbed_forest,3275316,195.13
48,net_disturbed_forest,1161896,69.22
48,gross_minus_net_undisturbed_forest,666,0.04
48,gross_minus_net_disturbed_forest,976,0.06
49,gross_undisturbed_forest,3275901,195.17
49,gross_disturbed_forest,1160312,69.13
49,net_undisturbed_forest,3275235,195.13
49,net_disturbed_forest,1159328,69.07
49,gross_minus_net_undisturbed_forest,666,0.04
49,gross_minus_net_disturbed_forest,984,0.06
50,gross_undisturbed_forest,3275811,195.16
50,gross_disturbed_forest,1157368,68.95
50,net_undisturbed_forest,3275145,195.12
50,net_disturbed_forest,1156400,68.9
50,gross_minus_net_undisturbed_forest,666,0.04
50,gross_minus_net_disturbed_forest,968,0.06
51,gross_undisturbed_forest,3275730,195.16
51,gross_disturbed_forest,1154424,68.78
51,net_undisturbed_forest,3275064,195.12
51,net_disturbed_forest,1153440,68.72
51,gross_minus_net_undisturbed_forest,666,0.04
51,gross_minus_net_disturbed_forest,984,0.06
52,gross_undisturbed_forest,3275622,195.15
52,gross_disturbed_forest,1151896,68.63
52,net_undisturbed_forest,3274956,195.11
52,net_disturbed_forest,1150904,68.57
52,gross_minus_net_undisturbed_forest,666,0.04
52,gross_minus_net_disturbed_forest,992,0.06
53,gross_undisturbed_forest,3275559,195.15
53,gross_disturbed_forest,1148488,68.42
53,net_undisturbed_forest,3274893,195.11
53,net_disturbed_forest,1147464,68.36
53,gross_minus_net_undisturbed_forest,666,0.04
53,gross_minus_net_disturbed_forest,1024,0.06
54,gross_undisturbed_forest,3275334,195.14
54,gross_disturbed_forest,1142808,68.09
54,net_undisturbed_forest,3274668,195.1
54,net_disturbed_forest,1141752,68.02
54,gross_minus_net_undisturbed_forest,666,0.04
54,gross_minus_net_disturbed_forest,1056,0.06
55,gross_undisturbed_forest,3275163,195.13
55,gross_disturbed_forest,1136640,67.72
55,net_undisturbed_forest,3274497,195.09
55,net_disturbed_forest,1135568,67.65
55,gross_minus_net_undisturbed_forest,666,0.04
55,gross_minus_net_disturbed_forest,1072,0.06
56,gross_undisturbed_forest,3274848,195.11
56,gross_disturbed_forest,1130240,67.34
56,net_undisturbed_forest,3274182,195.07
56,net_disturbed_forest,1129104,67.27
56,gross_minus_net_undisturbed_forest,666,0.04
56,gross_minus_net_disturbed_forest,1136,0.07
57,gross_undisturbed_forest,3274542,195.09
57,gross_disturbed_forest,1123664,66.95
57,net_undisturbed_forest,3273876,195.05
57,net_disturbed_forest,1122472,66.87
57,gross_minus_net_undisturbed_forest,666,0.04
57,gross_minus_net_disturbed_forest,1192,0.07
58,gross_undisturbed_forest,3274191,195.07
58,gross_disturbed_forest,1116968,66.55
58,net_undisturbed_forest,3273525,195.03
58,net_disturbed_forest,1115728,66.47
58,gross_minus_net_undisturbed_forest,666,0.04
58,gross_minus_net_disturbed_forest,1240,0.07
59,gross_undisturbed_forest,3273732,195.04
59,gross_disturbed_forest,1110160,66.14
59,net_undisturbed_forest,3273066,195.0
59,net_disturbed_forest,1108792,66.06
59,gross_minus_net_undisturbed_forest,666,0.04
59,gross_minus_net_disturbed_forest,1368,0.08
60,gross_undisturbed_forest,3273381,195.02
60,gross_disturbed_forest,1103304,65.73
60,net_undisturbed_forest,3272715,194.98
60,net_disturbed_forest,1101816,65.64
60,gross_minus_net_undisturbed_forest,666,0.04
60,gross_minus_net_disturbed_forest,1488,0.09
61,gross_undisturbed_forest,3272850,194.99
61,gross_disturbed_forest,1095712,65.28
61,net_undisturbed_forest,3272184,194.95
61,net_disturbed_forest,1094056,65.18
61,gross_minus_net_undisturbed_forest,666,0.04
61,gross_minus_net_disturbed_forest,1656,0.1
62,gross_undisturbed_forest,3272526,194.97
62,gross_disturbed_forest,1088192,64.83
62,net_undisturbed_forest,3271860,194.93
62,net_disturbed_forest,1086424,64.73
62,gross_minus_net_undisturbed_forest,666,0.04
62,gross_minus_net_disturbed_forest,1768,0.11
63,gross_undisturbed_forest,3272112,194.94
63,gross_disturbed_forest,1080880,64.4
63,net_undisturbed_forest,3271446,194.9
63,net_disturbed_forest,1078936,64.28
63,gross_minus_net_undisturbed_forest,666,0.04
63,gross_minus_net_disturbed_forest,1944,0.12
64,gross_undisturbed_forest,3271374,194.9
64,gross_disturbed_forest,1069184,63.7
64,net_undisturbed_forest,3270708,194.86
64,net_disturbed_forest,1067192,63.58
64,gross_minus_net_undisturbed_forest,666,0.04
64,gross_minus_net_disturbed_forest,1992,0.12
65,gross_undisturbed_forest,3270564,194.85
65,gross_disturbed_forest,1057616,63.01
