time_step,LUT_code,LUT_mean,potential_AGB,potential_Carbon
43,LUT22,217.244,25634.793,12817.397
43,LUT23,288.993,23697.428,11848.714
44,LUT21,117.543,55188200.0,27594100.0
44,LUT22,217.244,26069.281,13034.64
44,LUT23,288.993,23697.428,11848.714
45,LUT21,117.543,55333132.0,27666566.0
45,LUT22,217.244,25852.037,12926.019
45,LUT23,288.993,24564.406,12282.203
46,LUT21,117.543,55490052.0,27745026.0
46,LUT22,217.244,24765.816,12382.908
46,LUT23,288.993,24275.412,12137.706
47,LUT21,117.543,55733720.0,27866860.0
47,LUT22,217.244,23679.596,11839.798
47,LUT23,288.993,24275.412,12137.706
48,LUT21,117.543,55966688.0,27983344.0
48,LUT22,217.244,22810.621,11405.31
48,LUT23,288.993,21963.469,10981.735
49,LUT21,117.543,56212824.0,28106412.0
49,LUT22,217.244,21507.156,10753.578
49,LUT23,288.993,23408.434,11704.217
50,LUT21,117.543,56460252.0,28230126.0
50,LUT22,217.244,21507.156,10753.578
50,LUT23,288.993,24275.412,12137.706
51,LUT21,117.543,56696632.0,28348316.0
51,LUT22,217.244,20638.18,10319.09
51,LUT23,288.993,21674.477,10837.238
52,LUT21,117.543,56946880.0,28473440.0
52,LUT22,217.244,22810.621,11405.31
52,LUT23,288.993,21096.49,10548.245
53,LUT21,117.543,57186196.0,28593098.0
53,LUT22,217.244,21289.912,10644.956
53,LUT23,288.993,21674.477,10837.238
54,LUT21,117.543,57438916.0,28719458.0
54,LUT22,217.244,22593.377,11296.689
54,LUT23,288.993,20518.504,10259.252
55,LUT21,117.543,57680348.0,28840174.0
55,LUT22,217.244,22376.133,11188.067
55,LUT23,288.993,21963.469,10981.735
56,LUT21,117.543,57923544.0,28961772.0
56,LUT22,217.244,22376.133,11188.067
56,LUT23,288.993,19940.518,9970.259
57,LUT21,117.543,58259716.0,29129858.0
57,LUT22,217.244,19769.205,9884.603
57,LUT23,288.993,19362.531,9681.265
58,LUT21,117.543,58599652.0,29299826.0
58,LUT22,217.244,16510.545,8255.272
58,LUT23,288.993,19940.518,9970.259
59,LUT21,117.543,58931240.0,29465620.0
59,LUT22,217.244,16727.789,8363.895
59,LUT23,288.993,18495.553,9247.776
60,LUT21,117.543,59279520.0,29639760.0
60,LUT22,217.244,16945.033,8472.516
60,LUT23,288.993,18784.545,9392.272
61,LUT21,117.543,59618984.0,29809492.0
61,LUT22,217.244,15858.812,7929.406
61,LUT23,288.993,17917.566,8958.783
62,LUT21,117.543,59976196.0,29988098.0
62,LUT22,217.244,15207.08,7603.54
62,LUT23,288.993,18206.561,9103.281
63,LUT21,117.543,60324476.0,30162238.0
63,LUT22,217.244,14555.349,7277.675
63,LUT23,288.993,19073.539,9536.77
64,LUT21,117.543,60676636.0,30338318.0
64,LUT22,217.244,15641.568,7820.784
64,LUT23,288.993,17050.588,8525.294
65,LUT21,117.543,61033968.0,30516984.0
65,LUT22,217.244,15641.568,7820.784
65,LUT23,288.993,16761.594,8380.797
66,LUT21,117.543,61395412.0,30697706.0
66,LUT22,217.244,15207.08,7603.54
66,LUT23,288.993,17050.588,8525.294
67,LUT21,117.543,61815744.0,30907872.0
67,LUT22,217.244,14772.592,7386.296
67,LUT23,288.993,16183.608,8091.804
68,LUT21,117.543,62243132.0,31121566.0
68,LUT22,217.244,14338.104,7169.052
68,LUT23,288.993,16183.608,8091.804
69,LUT21,117.543,62678040.0,31339020.0
69,LUT22,217.244,13903.616,6951.808
69,LUT23,288.993,16472.602,8236.301
70,LUT21,117.543,63120356.0,31560178.0
70,LUT22,217.244,13686.372,6843.186
70,LUT23,288.993,17050.588,8525.294
71,LUT21,117.543,63556324.0,31778162.0
71,LUT22,217.244,12600.152,6300.076
71,LUT23,288.993,17628.574,8814.287
72,LUT21,117.543,64000284.0,32000142.0
72,LUT22,217.244,12165.664,6082.832
72,LUT23,288.993,15605.623,7802.811
73,LUT21,117.543,64466812.0,32233406.0
73,LUT22,217.244,11731.176,5865.588
73,LUT23,288.993,15316.63,7658.315
74,LUT21,117.543,64927344.0,32463672.0
74,LUT22,217.244,11296.688,5648.344
74,LUT23,288.993,15605.623,7802.811
75,LUT21,117.543,65395988.0,32697994.0
75,LUT22,217.244,11513.933,5756.967
75,LUT23,288.993,14738.644,7369.322
76,LUT21,117.543,65858284.0,32929142.0
76,LUT22,217.244,11079.444,5539.722
76,LUT23,288.993,14449.65,7224.825
