time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
19,Plantano,agroforestry,41206,412.06,198612.92,396813.78
19,Maize,cropland-annual,6587,922.18,6784.61,12647.04
19,Cassava,cropland-annual,1371,13.71,8212.29,16410.87
20,Cacao,agroforestry,263797,52759.4,237417.3,422075.2
20,Coffee,agroforestry,226,29.38,31.64,33.9
20,Plantano,agroforestry,41453,414.53,199803.46,399192.39
20,Maize,cropland-annual,6620,926.8,6818.6,12710.4
20,Cassava,cropland-annual,1378,13.78,8254.22,16494.66
21,Cacao,agroforestry,265322,53064.4,238789.8,424515.2
21,Coffee,agroforestry,227,29.51,31.78,34.05
21,Plantano,agroforestry,41692,416.92,200955.44,401493.96
21,Maize,cropland-annual,6650,931.0,6849.5,12768.0
21,Cassava,cropland-annual,1384,13.84,8290.16,16566.48
22,Cacao,agroforestry,266860,53372.0,240174.0,426976.0
22,Coffee,agroforestry,228,29.64,31.92,34.2
22,Plantano,agroforestry,41934,419.34,202121.88,403824.42
22,Maize,cropland-annual,6683,935.62,6883.49,12831.36
22,Cassava,cropland-annual,1391,13.91,8332.09,16650.27
23,Cacao,agroforestry,268455,53691.0,241609.5,429528.0
23,Coffee,agroforestry,230,29.9,32.2,34.5
23,Plantano,agroforestry,42185,421.85,203331.7,406241.55
23,Maize,cropland-annual,6716,940.24,6917.48,12894.72
23,Cassava,cropland-annual,1397,13.97,8368.03,16722.09
24,Cacao,agroforestry,270010,54002.0,243009.0,432016.0
24,Coffee,agroforestry,231,30.03,32.34,34.65
24,Plantano,agroforestry,42429,424.29,204507.78,408591.27
24,Maize,cropland-annual,6748,944.72,6950.44,12956.16
24,Cassava,cropland-annual,1404,14.04,8409.96,16805.88
25,Cacao,agroforestry,271576,54315.2,244418.4,434521.6
25,Coffee,agroforestry,232,30.16,32.48,34.8
25,Plantano,agroforestry,42675,426.75,205693.5,410960.25
25,Maize,cropland-annual,6780,949.2,6983.4,13017.6
25,Cassava,cropland-annual,1411,14.11,8451.89,16889.67
26,Cacao,agroforestry,273147,54629.4,245832.3,437035.2
26,Coffee,agroforestry,234,30.42,32.76,35.1
26,Plantano,agroforestry,42922,429.22,206884.04,413338.86
26,Maize,cropland-annual,6812,953.68,7016.36,13079.04
26,Cassava,cropland-annual,1418,14.18,8493.82,16973.46
27,Cacao,agroforestry,274786,54957.2,247307.4,439657.6
27,Coffee,agroforestry,235,30.55,32.9,35.25
27,Plantano,agroforestry,43180,431.8,208127.6,415823.4
27,Maize,cropland-annual,6845,958.3,7050.35,13142.4
27,Cassava,cropland-annual,1424,14.24,8529.76,17045.28
28,Cacao,agroforestry,276381,55276.2,248742.9,442209.6
28,Coffee,agroforestry,236,30.68,33.04,35.4
28,Plantano,agroforestry,43430,434.3,209332.6,418230.9
28,Maize,cropland-annual,6879,963.06,7085.37,13207.68
28,Cassava,cropland-annual,1431,14.31,8571.69,17129.07
29,Cacao,agroforestry,277985,55597.0,250186.5,444776.0
29,Coffee,agroforestry,238,30.94,33.32,35.7
29,Plantano,agroforestry,43682,436.82,210547.24,420657.66
29,Maize,cropland-annual,6912,967.68,7119.36,13271.04
29,Cassava,cropland-annual,1438,14.38,8613.62,17212.86
30,Cacao,agroforestry,279655,55931.0,251689.5,447448.0
30,Coffee,agroforestry,239,31.07,33.46,35.85
30,Plantano,agroforestry,43945,439.45,211814.9,423190.35
30,Maize,cropland-annual,6946,972.44,7154.38,13336.32
30,Cassava,cropland-annual,1445,14.45,8655.55,17296.65
31,Cacao,agroforestry,281281,56256.2,253152.9,450049.6
31,Coffee,agroforestry,241,31.33,33.74,36.15
31,Plantano,agroforestry,44200,442.0,213044.0,425646.0
31,Maize,cropland-annual,6979,977.06,7188.37,13399.68
31,Cassava,cropland-annual,1452,14.52,8697.48,17380.44
32,Cacao,agroforestry,282916,56583.2,254624.4,452665.6
32,Coffee,agroforestry,242,31.46,33.88,36.3
32,Plantano,agroforestry,44457,444.57,214282.74,428120.91
32,Maize,cropland-annual,7013,981.82,7223.39,13464.96
32,Cassava,cropland-annual,1459,14.59,8739.41,17464.23
33,Cacao,agroforestry,284559,56911.8,256103.1,455294.4
33,Coffee,agroforestry,243,31.59,34.02,36.45
33,Plantano,agroforestry,44715,447.15,215526.3,430605.45
33,Maize,cropland-annual,7045,986.3,7256.35,13526.4
33,Cassava,cropland-annual,1466,14.66,8781.34,17548.02
34,Cacao,agroforestry,286275,57255.0,257647.5,458040.0
34,Coffee,agroforestry,245,31.85,34.3,36.75
34,Plantano,agroforestry,44985,449.85,216827.7,433205.55
34,Maize,cropland-annual,7081,991.34,7293.43,13595.52
34,Cassava,cropland-annual,1473,14.73,8823.27,17631.81
35,Cacao,agroforestry,287942,57588.4,259147.8,460707.2
35,Coffee,agroforestry,246,31.98,34.44,36.9
35,Plantano,agroforestry,45247,452.47,218090.54,435728.61
35,Maize,cropland-annual,7115,996.1,7328.45,13660.8
35,Cassava,cropland-annual,1481,14.81,8871.19,17727.57
36,Cacao,agroforestry,289620,57924.0,260658.0,463392.0
36,Coffee,agroforestry,248,32.24,34.72,37.2
36,Plantano,agroforestry,45511,455.11,219363.02,438270.93
36,Maize,cropland-annual,7149,1000.86,7363.47,13726.08
36,Cassava,cropland-annual,1488,14.88,8913.12,17811.36
37,Cacao,agroforestry,291367,58273.4,262230.3,466187.2
37,Coffee,agroforestry,249,32.37,34.86,37.35
37,Plantano,agroforestry,45785,457.85,220683.7,440909.55
37,Maize,cropland-annual,7185,1005.9,7400.55,13795.2
37,Cassava,cropland-annual,1495,14.95,8955.05,17895.15
38,Cacao,agroforestry,293067,58613.4,263760.3,468907.2
38,Coffee,agroforestry,251,32.63,35.14,37.65
38,Plantano,agroforestry,46052,460.52,221970.64,443480.76
38,Maize,cropland-annual,7219,1010.66,7435.57,13860.48
38,Cassava,cropland-annual,1502,15.02,8996.98,17978.94
39,Cacao,agroforestry,294778,58955.6,265300.2,471644.8
39,Coffee,agroforestry,252,32.76,35.28,37.8
39,Plantano,agroforestry,46321,463.21,223267.22,446071.23
39,Maize,cropland-annual,7254,1015.56,7471.62,13927.68
39,Cassava,cropland-annual,1509,15.09,9038.91,18062.73
40,Cacao,agroforestry,296499,59299.8,266849.1,474398.4
40,Coffee,agroforestry,254,33.02,35.56,38.1
40,Plantano,agroforestry,46592,465.92,224573.44,448680.96
40,Maize,cropland-annual,7289,1020.46,7507.67,13994.88
40,Cassava,cropland-annual,1517,15.17,9086.83,18158.49
