time_step,LUT_code,demand
65,LUT03,504756
65,LUT04,384834
65,LUT05,6
66,LUT01,67099
66,LUT02,14523
66,LUT03,507800
66,LUT04,386110
66,LUT05,5
67,LUT01,67051
67,LUT02,14570
67,LUT03,511329
67,LUT04,387745
67,LUT05,4
68,LUT01,67050
68,LUT02,14617
68,LUT03,514918
68,LUT04,389420
68,LUT05,4
69,LUT01,67049
69,LUT02,14665
69,LUT03,518570
69,LUT04,391132
69,LUT05,3
70,LUT01,67048
70,LUT02,14713
70,LUT03,522285
70,LUT04,392879
70,LUT05,3
71,LUT01,67047
71,LUT02,14761
71,LUT03,525946
71,LUT04,394579
71,LUT05,2
72,LUT01,67047
72,LUT02,14811
72,LUT03,529673
72,LUT04,396319
72,LUT05,2
73,LUT01,67046
73,LUT02,14865
73,LUT03,533588
73,LUT04,398191
73,LUT05,2
74,LUT01,67045
74,LUT02,14918
74,LUT03,537453
74,LUT04,400014
74,LUT05,2
75,LUT01,67044
75,LUT02,14971
75,LUT03,541387
75,LUT04,401882
75,LUT05,1
76,LUT01,67043
76,LUT02,15022
76,LUT03,545269
76,LUT04,403698
76,LUT05,1
