time_step,class,pixels,percentage
25,>20 - 40 %,13770,0.82
25,>40 - 60 %,54333,3.24
25,>60 - 80 %,112064,6.68
25,>80 - <100 %,51857,3.09
25,100 %,1437602,85.65
26,0 %,0,0.0
26,>0 - 20 %,10227,0.61
26,>20 - 40 %,14961,0.89
26,>40 - 60 %,69215,4.12
26,>60 - 80 %,98283,5.86
26,>80 - <100 %,53141,3.17
26,100 %,1432661,85.35
27,0 %,0,0.0
27,>0 - 20 %,10780,0.64
27,>20 - 40 %,16096,0.96
27,>40 - 60 %,85525,5.1
27,>60 - 80 %,83357,4.97
27,>80 - <100 %,53513,3.19
27,100 %,1429217,85.15
28,0 %,0,0.0
28,>0 - 20 %,10215,0.61
28,>20 - 40 %,17391,1.04
28,>40 - 60 %,97866,5.83
28,>60 - 80 %,72025,4.29
28,>80 - <100 %,54174,3.23
28,100 %,1426817,85.01
29,0 %,0,0.0
29,>0 - 20 %,9175,0.55
29,>20 - 40 %,19384,1.15
29,>40 - 60 %,103651,6.18
29,>60 - 80 %,66976,3.99
29,>80 - <100 %,54637,3.26
29,100 %,1424665,84.88
30,0 %,0,0.0
30,>0 - 20 %,8385,0.5
30,>20 - 40 %,22476,1.34
30,>40 - 60 %,104141,6.2
30,>60 - 80 %,66670,3.97
30,>80 - <100 %,54859,3.27
30,100 %,1421957,84.72
31,0 %,0,0.0
31,>0 - 20 %,6385,0.38
31,>20 - 40 %,26793,1.6
31,>40 - 60 %,101279,6.03
31,>60 - 80 %,68858,4.1
31,>80 - <100 %,55057,3.28
31,100 %,1420116,84.61
32,0 %,0,0.0
32,>0 - 20 %,4268,0.25
32,>20 - 40 %,37361,2.23
32,>40 - 60 %,90836,5.41
32,>60 - 80 %,73301,4.37
32,>80 - <100 %,112676,6.71
32,100 %,1360046,81.03
33,0 %,0,0.0
33,>0 - 20 %,6716,0.4
33,>20 - 40 %,39370,2.35
33,>40 - 60 %,82759,4.93
33,>60 - 80 %,79025,4.71
33,>80 - <100 %,112964,6.73
33,100 %,1357654,80.89
34,0 %,0,0.0
34,>0 - 20 %,7697,0.46
34,>20 - 40 %,38561,2.3
34,>40 - 60 %,78192,4.66
34,>60 - 80 %,85767,5.11
34,>80 - <100 %,113654,6.77
34,100 %,1354617,80.7
35,0 %,0,0.0
35,>0 - 20 %,8833,0.53
35,>20 - 40 %,35070,2.09
35,>40 - 60 %,75885,4.52
35,>60 - 80 %,91754,5.47
35,>80 - <100 %,114670,6.83
35,100 %,1352276,80.57
36,0 %,0,0.0
36,>0 - 20 %,9136,0.54
36,>20 - 40 %,31987,1.91
36,>40 - 60 %,74443,4.44
36,>60 - 80 %,96896,5.77
36,>80 - <100 %,116271,6.93
36,100 %,1349755,80.41
37,0 %,0,0.0
37,>0 - 20 %,8676,0.52
37,>20 - 40 %,30169,1.8
37,>40 - 60 %,73000,4.35
37,>60 - 80 %,99427,5.92
37,>80 - <100 %,120089,7.15
37,100 %,1347127,80.26
38,0 %,0,0.0
38,>0 - 20 %,7745,0.46
38,>20 - 40 %,29181,1.74
38,>40 - 60 %,71299,4.25
38,>60 - 80 %,100404,5.98
38,>80 - <100 %,125162,7.46
38,100 %,1344697,80.11
39,0 %,0,0.0
39,>0 - 20 %,8885,0.53
39,>20 - 40 %,26840,1.6
39,>40 - 60 %,69587,4.15
39,>60 - 80 %,99400,5.92
39,>80 - <100 %,131560,7.84
39,100 %,1342216,79.97
40,0 %,0,0.0
40,>0 - 20 %,8852,0.53
40,>20 - 40 %,24954,1.49
40,>40 - 60 %,68973,4.11
40,>60 - 80 %,97991,5.84
40,>80 - <100 %,137749,8.21
40,100 %,1339969,79.83
41,0 %,0,0.0
41,>0 - 20 %,7689,0.46
41,>20 - 40 %,23297,1.39
41,>40 - 60 %,69378,4.13
41,>60 - 80 %,96798,5.77
41,>80 - <100 %,143356,8.54
