time_step,LUT_code,pixels
52,LUT05,0
53,total,2574
53,LUT01,0
53,LUT02,0
53,LUT03,2015
53,LUT04,559
53,LUT05,0
54,total,2770
54,LUT01,0
54,LUT02,0
54,LUT03,2126
54,LUT04,644
54,LUT05,0
55,total,2590
55,LUT01,0
55,LUT02,0
55,LUT03,2023
55,LUT04,567
55,LUT05,0
56,total,2614
56,LUT01,0
56,LUT02,0
56,LUT03,2039
56,LUT04,575
56,LUT05,0
57,total,3985
57,LUT01,0
57,LUT02,0
57,LUT03,2815
57,LUT04,1171
57,LUT05,0
58,total,4014
58,LUT01,0
58,LUT02,0
58,LUT03,2840
58,LUT04,1190
58,LUT05,0
59,total,3896
59,LUT01,0
59,LUT02,0
59,LUT03,2770
59,LUT04,1127
59,LUT05,0
60,total,4127
60,LUT01,0
60,LUT02,0
60,LUT03,2897
60,LUT04,1231
60,LUT05,0
61,total,3975
61,LUT01,0
61,LUT02,0
61,LUT03,2817
61,LUT04,1167
61,LUT05,0
62,total,4217
62,LUT01,0
62,LUT02,0
62,LUT03,2948
62,LUT04,1273
62,LUT05,0
63,total,4083
63,LUT01,0
63,LUT02,0
63,LUT03,2871
63,LUT04,1212
63,LUT05,0
64,total,4112
64,LUT01,0
64,LUT02,0
64,LUT03,2892
64,LUT04,1230
64,LUT05,0
65,total,4178
65,LUT01,0
65,LUT02,0
65,LUT03,2933
65,LUT04,1252
65,LUT05,0
66,total,4220
66,LUT01,0
66,LUT02,0
66,LUT03,2968
66,LUT04,1276
66,LUT05,0
67,total,5063
67,LUT01,0
67,LUT02,0
67,LUT03,3452
67,LUT04,1635
67,LUT05,0
68,total,5148
68,LUT01,0
68,LUT02,0
68,LUT03,3503
68,LUT04,1675
68,LUT05,0
69,total,5257
69,LUT01,0
69,LUT02,0
69,LUT03,3575
69,LUT04,1712
69,LUT05,0
70,total,5362
70,LUT01,0
70,LUT02,0
70,LUT03,3632
70,LUT04,1747
70,LUT05,0
71,total,5258
71,LUT01,0
71,LUT02,0
71,LUT03,3576
71,LUT04,1700
71,LUT05,0
72,total,5362
72,LUT01,0
72,LUT02,0
72,LUT03,3634
72,LUT04,1740
72,LUT05,0
73,total,5677
73,LUT01,0
73,LUT02,0
73,LUT03,3821
73,LUT04,1872
73,LUT05,0
74,total,5586
74,LUT01,0
74,LUT02,0
74,LUT03,3774
74,LUT04,1823
74,LUT05,0
75,total,5695
75,LUT01,0
75,LUT02,0
75,LUT03,3837
75,LUT04,1868
75,LUT05,0
76,total,5581
76,LUT01,0
76,LUT02,0
76,LUT03,3777
76,LUT04,1816
76,LUT05,0
