time_step,LUT_code,unit,area
80,LUT04,ha,0
80,LUT05,ha,-17307
81,LUT01,ha,-237
81,LUT02,ha,0
81,LUT03,ha,0
81,LUT04,ha,0
81,LUT05,ha,-17307
82,LUT01,ha,-238
82,LUT02,ha,0
82,LUT03,ha,0
82,LUT04,ha,0
82,LUT05,ha,-17308
83,LUT01,ha,-239
83,LUT02,ha,0
83,LUT03,ha,0
83,LUT04,ha,0
83,LUT05,ha,-17308
