time_step,LUT_code,pixels,percentage
41,LUT03,52540,3.13
41,LUT04,103667,6.18
41,LUT05,237,0.01
42,LUT01,91,0.01
42,LUT02,2522,0.15
42,LUT03,52540,3.13
42,LUT04,103667,6.18
42,LUT05,237,0.01
43,LUT01,93,0.01
43,LUT02,2522,0.15
43,LUT03,52540,3.13
43,LUT04,103666,6.18
43,LUT05,237,0.01
44,LUT01,93,0.01
44,LUT02,2519,0.15
44,LUT03,52540,3.13
44,LUT04,103666,6.18
44,LUT05,237,0.01
45,LUT01,93,0.01
45,LUT02,2515,0.15
45,LUT03,52540,3.13
45,LUT04,103666,6.18
45,LUT05,237,0.01
46,LUT01,93,0.01
46,LUT02,2515,0.15
46,LUT03,52540,3.13
46,LUT04,103666,6.18
46,LUT05,237,0.01
47,LUT01,93,0.01
47,LUT02,2514,0.15
47,LUT03,52540,3.13
47,LUT04,103666,6.18
47,LUT05,237,0.01
48,LUT01,93,0.01
48,LUT02,2513,0.15
48,LUT03,52540,3.13
48,LUT04,103666,6.18
48,LUT05,237,0.01
49,LUT01,93,0.01
49,LUT02,2507,0.15
49,LUT03,52540,3.13
49,LUT04,103666,6.18
49,LUT05,237,0.01
50,LUT01,93,0.01
50,LUT02,2502,0.15
50,LUT03,52540,3.13
50,LUT04,103666,6.18
50,LUT05,237,0.01
51,LUT01,93,0.01
51,LUT02,2497,0.15
51,LUT03,52540,3.13
51,LUT04,103666,6.18
51,LUT05,237,0.01
52,LUT01,93,0.01
52,LUT02,2491,0.15
52,LUT03,52540,3.13
52,LUT04,103666,6.18
52,LUT05,237,0.01
53,LUT01,93,0.01
53,LUT02,2489,0.15
53,LUT03,52539,3.13
53,LUT04,103666,6.18
53,LUT05,237,0.01
54,LUT01,93,0.01
54,LUT02,2489,0.15
54,LUT03,52539,3.13
54,LUT04,103666,6.18
54,LUT05,237,0.01
55,LUT01,93,0.01
55,LUT02,2489,0.15
55,LUT03,52539,3.13
55,LUT04,103666,6.18
55,LUT05,237,0.01
56,LUT01,93,0.01
56,LUT02,2489,0.15
56,LUT03,52539,3.13
56,LUT04,103666,6.18
56,LUT05,237,0.01
57,LUT01,93,0.01
57,LUT02,2489,0.15
57,LUT03,52539,3.13
57,LUT04,103666,6.18
57,LUT05,237,0.01
58,LUT01,93,0.01
58,LUT02,2489,0.15
58,LUT03,52538,3.13
58,LUT04,103666,6.18
58,LUT05,237,0.01
59,LUT01,93,0.01
59,LUT02,2489,0.15
59,LUT03,52538,3.13
59,LUT04,103666,6.18
59,LUT05,237,0.01
60,LUT01,93,0.01
60,LUT02,2489,0.15
60,LUT03,52538,3.13
60,LUT04,103666,6.18
60,LUT05,237,0.01
61,LUT01,93,0.01
61,LUT02,2489,0.15
61,LUT03,52538,3.13
61,LUT04,103666,6.18
61,LUT05,237,0.01
62,LUT01,93,0.01
62,LUT02,2489,0.15
62,LUT03,52538,3.13
62,LUT04,103666,6.18
62,LUT05,237,0.01
63,LUT01,93,0.01
63,LUT02,2489,0.15
63,LUT03,52538,3.13
63,LUT04,103666,6.18
63,LUT05,237,0.01
64,LUT01,93,0.01
64,LUT02,2489,0.15
64,LUT03,52538,3.13
64,LUT04,103666,6.18
64,LUT05,237,0.01
65,LUT01,93,0.01
65,LUT02,2489,0.15
65,LUT03,52538,3.13
65,LUT04,103666,6.18
65,LUT05,237,0.01
66,LUT01,93,0.01
66,LUT02,2489,0.15
66,LUT03,52538,3.13
66,LUT04,103666,6.18
66,LUT05,237,0.01
67,LUT01,93,0.01
67,LUT02,2489,0.15
67,LUT03,52538,3.13
67,LUT04,103666,6.18
67,LUT05,237,0.01
68,LUT01,93,0.01
68,LUT02,2489,0.15
68,LUT03,52538,3.13
68,LUT04,103666,6.18
68,LUT05,237,0.01
69,LUT01,93,0.01
69,LUT02,2489,0.15
69,LUT03,52538,3.13
69,LUT04,103666,6.18
69,LUT05,237,0.01
70,LUT01,93,0.01
70,LUT02,2489,0.15
70,LUT03,52538,3.13
70,LUT04,103666,6.18
70,LUT05,237,0.01
71,LUT01,93,0.01
71,LUT02,2489,0.15
71,LUT03,52538,3.13
71,LUT04,103666,6.18
71,LUT05,237,0.01
72,LUT01,93,0.01
72,LUT02,2489,0.15
72,LUT03,52538,3.13
72,LUT04,103666,6.18
72,LUT05,237,0.01
73,LUT01,93,0.01
73,LUT02,2489,0.15
73,LUT03,52538,3.13
73,LUT04,103666,6.18
73,LUT05,237,0.01
74,LUT01,93,0.01
74,LUT02,2489,0.15
74,LUT03,52538,3.13
74,LUT04,103666,6.18
74,LUT05,237,0.01
75,LUT01,93,0.01
75,LUT02,2489,0.15
75,LUT03,52538,3.13
75,LUT04,103666,6.18
75,LUT05,237,0.01
76,LUT01,93,0.01
76,LUT02,2489,0.15
76,LUT03,52538,3.13
76,LUT04,103666,6.18
76,LUT05,237,0.01
77,LUT01,93,0.01
77,LUT02,2489,0.15
77,LUT03,52538,3.13
77,LUT04,103666,6.18
77,LUT05,237,0.01
78,LUT01,93,0.01
78,LUT02,2489,0.15
78,LUT03,52538,3.13
78,LUT04,103666,6.18
78,LUT05,237,0.01
79,LUT01,93,0.01
79,LUT02,2489,0.15
79,LUT03,52537,3.13
79,LUT04,103666,6.18
79,LUT05,237,0.01
80,LUT01,93,0.01
80,LUT02,2489,0.15
80,LUT03,52537,3.13
80,LUT04,103666,6.18
80,LUT05,237,0.01
81,LUT01,93,0.01
81,LUT02,2489,0.15
81,LUT03,52537,3.13
81,LUT04,103666,6.18
81,LUT05,237,0.01
82,LUT01,93,0.01
82,LUT02,2489,0.15
82,LUT03,52537,3.13
82,LUT04,103666,6.18
82,LUT05,237,0.01
83,LUT01,93,0.01
83,LUT02,2489,0.15
83,LUT03,52537,3.13
83,LUT04,103666,6.18
83,LUT05,237,0.01
