time_step,type,AGB,Carbon
7,final_total_AGB_net_disturbed_forest,11936216.0,5984202.0
7,final_total_AGB_gross_minus_net_disturbed_forest,32188.0,0.0
7,final_total_AGB_gross_undisturbed_forest,72772264.0,36386132.0
7,final_total_AGB_net_undisturbed_forest,72758776.0,36379388.0
7,final_total_AGB_gross_minus_net_undisturbed_forest,13488.0,6744.0
8,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
8,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
8,final_total_AGB_gross_forest,132515864.0,66257932.0
8,final_total_AGB_net_forest,84794072.0,42397036.0
8,final_total_AGB_gross_minus_net_forest,47721792.0,23860896.0
8,final_total_AGB_agroforestry,47681900.0,23840950.0
8,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
8,final_total_AGB_gross_disturbed_forest,12020705.0,6010352.5
8,final_total_AGB_net_disturbed_forest,11994324.0,6010352.5
8,final_total_AGB_gross_minus_net_disturbed_forest,26381.0,0.0
8,final_total_AGB_gross_undisturbed_forest,72813264.0,36406632.0
8,final_total_AGB_net_undisturbed_forest,72799752.0,36399876.0
8,final_total_AGB_gross_minus_net_undisturbed_forest,13512.0,6756.0
9,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
9,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
9,final_total_AGB_gross_forest,133314000.0,66657000.0
9,final_total_AGB_net_forest,84869448.0,42434724.0
9,final_total_AGB_gross_minus_net_forest,48444552.0,24222276.0
9,final_total_AGB_agroforestry,48406420.0,24203210.0
9,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
9,final_total_AGB_gross_disturbed_forest,12057222.0,6028611.0
9,final_total_AGB_net_disturbed_forest,12032624.0,6028611.0
9,final_total_AGB_gross_minus_net_disturbed_forest,24598.0,0.0
9,final_total_AGB_gross_undisturbed_forest,72850360.0,36425180.0
9,final_total_AGB_net_undisturbed_forest,72836824.0,36418412.0
9,final_total_AGB_gross_minus_net_undisturbed_forest,13536.0,6768.0
10,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
10,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
10,final_total_AGB_gross_forest,134062480.0,67031240.0
10,final_total_AGB_net_forest,84953312.0,42476656.0
10,final_total_AGB_gross_minus_net_forest,49109168.0,24554584.0
10,final_total_AGB_agroforestry,49070192.0,24535096.0
10,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
10,final_total_AGB_gross_disturbed_forest,12108382.0,6054191.0
10,final_total_AGB_net_disturbed_forest,12082950.0,6054191.0
10,final_total_AGB_gross_minus_net_disturbed_forest,25432.0,0.0
10,final_total_AGB_gross_undisturbed_forest,72883912.0,36441956.0
10,final_total_AGB_net_undisturbed_forest,72870360.0,36435180.0
10,final_total_AGB_gross_minus_net_undisturbed_forest,13552.0,6776.0
11,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
11,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
11,final_total_AGB_gross_forest,134757744.0,67378872.0
11,final_total_AGB_net_forest,85039152.0,42519576.0
11,final_total_AGB_gross_minus_net_forest,49718592.0,24859296.0
11,final_total_AGB_agroforestry,49676652.0,24838326.0
11,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
11,final_total_AGB_gross_disturbed_forest,12166702.0,6083351.0
11,final_total_AGB_net_disturbed_forest,12138322.0,6083351.0
11,final_total_AGB_gross_minus_net_disturbed_forest,28380.0,0.0
11,final_total_AGB_gross_undisturbed_forest,72914392.0,36457196.0
11,final_total_AGB_net_undisturbed_forest,72900832.0,36450416.0
11,final_total_AGB_gross_minus_net_undisturbed_forest,13560.0,6780.0
12,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
12,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
12,final_total_AGB_gross_forest,135382336.0,67691168.0
12,final_total_AGB_net_forest,85112240.0,42556120.0
12,final_total_AGB_gross_minus_net_forest,50270096.0,25135048.0
12,final_total_AGB_agroforestry,50226108.0,25113054.0
12,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
12,final_total_AGB_gross_disturbed_forest,12213919.0,6106959.5
12,final_total_AGB_net_disturbed_forest,12183498.0,6106959.5
12,final_total_AGB_gross_minus_net_disturbed_forest,30421.0,0.0
12,final_total_AGB_gross_undisturbed_forest,72942312.0,36471156.0
12,final_total_AGB_net_undisturbed_forest,72928744.0,36464372.0
12,final_total_AGB_gross_minus_net_undisturbed_forest,13568.0,6784.0
13,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
13,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
13,final_total_AGB_gross_forest,135954224.0,67977112.0
13,final_total_AGB_net_forest,85184544.0,42592272.0
13,final_total_AGB_gross_minus_net_forest,50769680.0,25384840.0
13,final_total_AGB_agroforestry,50722856.0,25361428.0
13,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
13,final_total_AGB_gross_disturbed_forest,12263375.0,6131687.5
13,final_total_AGB_net_disturbed_forest,12230119.0,6131687.5
13,final_total_AGB_gross_minus_net_disturbed_forest,33256.0,0.0
13,final_total_AGB_gross_undisturbed_forest,72968000.0,36484000.0
13,final_total_AGB_net_undisturbed_forest,72954424.0,36477212.0
13,final_total_AGB_gross_minus_net_undisturbed_forest,13576.0,6788.0
14,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
14,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
14,final_total_AGB_gross_forest,136480592.0,68240296.0
14,final_total_AGB_net_forest,85260848.0,42630424.0
14,final_total_AGB_gross_minus_net_forest,51219744.0,25609872.0
14,final_total_AGB_agroforestry,51172536.0,25586268.0
14,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
14,final_total_AGB_gross_disturbed_forest,12316305.0,6158152.5
14,final_total_AGB_net_disturbed_forest,12282685.0,6158152.5
14,final_total_AGB_gross_minus_net_disturbed_forest,33620.0,0.0
14,final_total_AGB_gross_undisturbed_forest,72991752.0,36495876.0
14,final_total_AGB_net_undisturbed_forest,72978168.0,36489084.0
14,final_total_AGB_gross_minus_net_undisturbed_forest,13584.0,6792.0
15,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
15,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
15,final_total_AGB_gross_forest,136944048.0,68472024.0
15,final_total_AGB_net_forest,85325736.0,42662868.0
15,final_total_AGB_gross_minus_net_forest,51618312.0,25809156.0
15,final_total_AGB_agroforestry,51575724.0,25787862.0
15,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
15,final_total_AGB_gross_disturbed_forest,12355535.0,6177767.5
15,final_total_AGB_net_disturbed_forest,12326539.0,6177767.5
15,final_total_AGB_gross_minus_net_disturbed_forest,28996.0,0.0
15,final_total_AGB_gross_undisturbed_forest,73012792.0,36506396.0
15,final_total_AGB_net_undisturbed_forest,72999200.0,36499600.0
15,final_total_AGB_gross_minus_net_undisturbed_forest,13592.0,6796.0
16,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
16,initial_AGB_gross_forest_simulation_start,141015056.0,70507528.0
16,final_total_AGB_gross_forest,137363376.0,68681688.0
16,final_total_AGB_net_forest,85388952.0,42694476.0
