time_step,type,AGB,Carbon
7,final_total_AGB_net_disturbed_forest,19194970.0,9599103.0
7,final_total_AGB_gross_minus_net_disturbed_forest,3236.0,0.0
7,final_total_AGB_gross_undisturbed_forest,82090960.0,41045480.0
7,final_total_AGB_net_undisturbed_forest,82076032.0,41038016.0
7,final_total_AGB_gross_minus_net_undisturbed_forest,14928.0,7464.0
8,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
8,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
8,final_total_AGB_gross_forest,141019408.0,70509704.0
8,final_total_AGB_net_forest,101495480.0,50747740.0
8,final_total_AGB_gross_minus_net_forest,39523928.0,19761964.0
8,final_total_AGB_agroforestry,39505552.0,19752776.0
8,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
8,final_total_AGB_gross_disturbed_forest,19300362.0,9650181.0
8,final_total_AGB_net_disturbed_forest,19296998.0,9650181.0
8,final_total_AGB_gross_minus_net_disturbed_forest,3364.0,0.0
8,final_total_AGB_gross_undisturbed_forest,82213488.0,41106744.0
8,final_total_AGB_net_undisturbed_forest,82198488.0,41099244.0
8,final_total_AGB_gross_minus_net_undisturbed_forest,15000.0,7500.0
9,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
9,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
9,final_total_AGB_gross_forest,142493728.0,71246864.0
9,final_total_AGB_net_forest,101732472.0,50866236.0
9,final_total_AGB_gross_minus_net_forest,40761256.0,20380628.0
9,final_total_AGB_agroforestry,40742656.0,20371328.0
9,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
9,final_total_AGB_gross_disturbed_forest,19424706.0,9712353.0
9,final_total_AGB_net_disturbed_forest,19421170.0,9712353.0
9,final_total_AGB_gross_minus_net_disturbed_forest,3536.0,0.0
9,final_total_AGB_gross_undisturbed_forest,82326368.0,41163184.0
9,final_total_AGB_net_undisturbed_forest,82311296.0,41155648.0
9,final_total_AGB_gross_minus_net_undisturbed_forest,15072.0,7536.0
10,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
10,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
10,final_total_AGB_gross_forest,143887248.0,71943624.0
10,final_total_AGB_net_forest,101950616.0,50975308.0
10,final_total_AGB_gross_minus_net_forest,41936632.0,20968316.0
10,final_total_AGB_agroforestry,41917784.0,20958892.0
10,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
10,final_total_AGB_gross_disturbed_forest,19540608.0,9770304.0
10,final_total_AGB_net_disturbed_forest,19536900.0,9770304.0
10,final_total_AGB_gross_minus_net_disturbed_forest,3708.0,0.0
10,final_total_AGB_gross_undisturbed_forest,82428856.0,41214428.0
10,final_total_AGB_net_undisturbed_forest,82413720.0,41206860.0
10,final_total_AGB_gross_minus_net_undisturbed_forest,15136.0,7568.0
11,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
11,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
11,final_total_AGB_gross_forest,145201152.0,72600576.0
11,final_total_AGB_net_forest,102150024.0,51075012.0
11,final_total_AGB_gross_minus_net_forest,43051128.0,21525564.0
11,final_total_AGB_agroforestry,43032056.0,21516028.0
11,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
11,final_total_AGB_gross_disturbed_forest,19646910.0,9823455.0
11,final_total_AGB_net_disturbed_forest,19643034.0,9823455.0
11,final_total_AGB_gross_minus_net_disturbed_forest,3876.0,0.0
11,final_total_AGB_gross_undisturbed_forest,82522192.0,41261096.0
11,final_total_AGB_net_undisturbed_forest,82506992.0,41253496.0
11,final_total_AGB_gross_minus_net_undisturbed_forest,15200.0,7600.0
12,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
12,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
12,final_total_AGB_gross_forest,146438976.0,73219488.0
12,final_total_AGB_net_forest,102336064.0,51168032.0
12,final_total_AGB_gross_minus_net_forest,44102912.0,22051456.0
12,final_total_AGB_agroforestry,44083592.0,22041796.0
12,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
12,final_total_AGB_gross_disturbed_forest,19747814.0,9873907.0
12,final_total_AGB_net_disturbed_forest,19743760.0,9873907.0
12,final_total_AGB_gross_minus_net_disturbed_forest,4054.0,0.0
12,final_total_AGB_gross_undisturbed_forest,82607560.0,41303780.0
12,final_total_AGB_net_undisturbed_forest,82592304.0,41296152.0
12,final_total_AGB_gross_minus_net_undisturbed_forest,15256.0,7628.0
13,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
13,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
13,final_total_AGB_gross_forest,147597184.0,73798592.0
13,final_total_AGB_net_forest,102505040.0,51252520.0
13,final_total_AGB_gross_minus_net_forest,45092144.0,22546072.0
13,final_total_AGB_agroforestry,45072608.0,22536304.0
13,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
13,final_total_AGB_gross_disturbed_forest,19838854.0,9919427.0
13,final_total_AGB_net_disturbed_forest,19834630.0,9919427.0
13,final_total_AGB_gross_minus_net_disturbed_forest,4224.0,0.0
13,final_total_AGB_gross_undisturbed_forest,82685720.0,41342860.0
13,final_total_AGB_net_undisturbed_forest,82670408.0,41335204.0
13,final_total_AGB_gross_minus_net_undisturbed_forest,15312.0,7656.0
14,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
14,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
14,final_total_AGB_gross_forest,148679584.0,74339792.0
14,final_total_AGB_net_forest,102661080.0,51330540.0
14,final_total_AGB_gross_minus_net_forest,46018504.0,23009252.0
14,final_total_AGB_agroforestry,45998740.0,22999370.0
14,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
14,final_total_AGB_gross_disturbed_forest,19923068.0,9961534.0
14,final_total_AGB_net_disturbed_forest,19918676.0,9961534.0
14,final_total_AGB_gross_minus_net_disturbed_forest,4392.0,0.0
