time_step,LUT_code,pixels
60,LUT02,0
60,LUT03,2005
60,LUT04,559
60,LUT05,0
61,total,2748
61,LUT01,0
61,LUT02,0
61,LUT03,2118
61,LUT04,644
61,LUT05,0
62,total,2583
62,LUT01,0
62,LUT02,0
62,LUT03,2026
62,LUT04,567
62,LUT05,0
63,total,2608
63,LUT01,0
63,LUT02,0
63,LUT03,2043
63,LUT04,575
63,LUT05,0
64,total,3974
64,LUT01,0
64,LUT02,0
64,LUT03,2821
64,LUT04,1171
64,LUT05,0
65,total,4032
65,LUT01,0
65,LUT02,0
65,LUT03,2853
65,LUT04,1190
65,LUT05,0
66,total,3898
66,LUT01,0
66,LUT02,0
66,LUT03,2779
66,LUT04,1127
66,LUT05,0
67,total,4133
67,LUT01,0
67,LUT02,0
67,LUT03,2922
67,LUT04,1231
67,LUT05,0
68,total,3986
68,LUT01,0
68,LUT02,0
68,LUT03,2837
68,LUT04,1167
68,LUT05,0
69,total,4236
69,LUT01,0
69,LUT02,0
69,LUT03,2987
69,LUT04,1273
69,LUT05,0
70,total,4102
70,LUT01,0
70,LUT02,0
70,LUT03,2915
70,LUT04,1212
70,LUT05,0
71,total,4153
71,LUT01,0
71,LUT02,0
71,LUT03,2951
71,LUT04,1230
71,LUT05,0
72,total,4225
72,LUT01,0
72,LUT02,0
72,LUT03,3002
72,LUT04,1252
72,LUT05,0
73,total,4285
73,LUT01,0
73,LUT02,0
73,LUT03,3029
73,LUT04,1276
73,LUT05,0
74,total,5138
74,LUT01,0
74,LUT02,0
74,LUT03,3534
74,LUT04,1635
74,LUT05,0
75,total,5252
75,LUT01,0
75,LUT02,0
75,LUT03,3594
75,LUT04,1675
75,LUT05,0
76,total,5366
76,LUT01,0
76,LUT02,0
76,LUT03,3655
76,LUT04,1712
76,LUT05,0
77,total,5462
77,LUT01,0
77,LUT02,0
77,LUT03,3719
77,LUT04,1747
77,LUT05,0
78,total,5364
78,LUT01,0
78,LUT02,0
78,LUT03,3666
78,LUT04,1700
78,LUT05,0
79,total,5473
79,LUT01,0
79,LUT02,0
79,LUT03,3745
79,LUT04,1740
79,LUT05,0
80,total,5831
80,LUT01,0
80,LUT02,0
80,LUT03,3959
80,LUT04,1872
80,LUT05,0
81,total,5732
81,LUT01,0
81,LUT02,0
81,LUT03,3910
81,LUT04,1823
81,LUT05,0
82,total,5849
82,LUT01,0
82,LUT02,0
82,LUT03,3984
82,LUT04,1868
82,LUT05,0
83,total,5744
83,LUT01,0
83,LUT02,0
83,LUT03,3928
83,LUT04,1816
83,LUT05,0
