time_step,type,AGB,Carbon
7,final_total_AGB_net_disturbed_forest,19922038.0,9962719.0
7,final_total_AGB_gross_minus_net_disturbed_forest,3400.0,0.0
7,final_total_AGB_gross_undisturbed_forest,78967232.0,39483616.0
7,final_total_AGB_net_undisturbed_forest,78952608.0,39476304.0
7,final_total_AGB_gross_minus_net_undisturbed_forest,14624.0,7312.0
8,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
8,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
8,final_total_AGB_gross_forest,138557536.0,69278768.0
8,final_total_AGB_net_forest,99135376.0,49567688.0
8,final_total_AGB_gross_minus_net_forest,39422160.0,19711080.0
8,final_total_AGB_agroforestry,39403924.0,19701962.0
8,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
8,final_total_AGB_gross_disturbed_forest,20076150.0,10038075.0
8,final_total_AGB_net_disturbed_forest,20072596.0,10038075.0
8,final_total_AGB_gross_minus_net_disturbed_forest,3554.0,0.0
8,final_total_AGB_gross_undisturbed_forest,79077464.0,39538732.0
8,final_total_AGB_net_undisturbed_forest,79062776.0,39531388.0
8,final_total_AGB_gross_minus_net_undisturbed_forest,14688.0,7344.0
9,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
9,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
9,final_total_AGB_gross_forest,140070016.0,70035008.0
9,final_total_AGB_net_forest,99406432.0,49703216.0
9,final_total_AGB_gross_minus_net_forest,40663584.0,20331792.0
9,final_total_AGB_agroforestry,40645096.0,20322548.0
9,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
9,final_total_AGB_gross_disturbed_forest,20246562.0,10123281.0
9,final_total_AGB_net_disturbed_forest,20242822.0,10123281.0
9,final_total_AGB_gross_minus_net_disturbed_forest,3740.0,0.0
9,final_total_AGB_gross_undisturbed_forest,79178360.0,39589180.0
9,final_total_AGB_net_undisturbed_forest,79163616.0,39581808.0
9,final_total_AGB_gross_minus_net_undisturbed_forest,14744.0,7372.0
10,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
10,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
10,final_total_AGB_gross_forest,141506784.0,70753392.0
10,final_total_AGB_net_forest,99662304.0,49831152.0
10,final_total_AGB_gross_minus_net_forest,41844480.0,20922240.0
10,final_total_AGB_agroforestry,41825752.0,20912876.0
10,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
10,final_total_AGB_gross_disturbed_forest,20411954.0,10205977.0
10,final_total_AGB_net_disturbed_forest,20408032.0,10205977.0
10,final_total_AGB_gross_minus_net_disturbed_forest,3922.0,0.0
10,final_total_AGB_gross_undisturbed_forest,79269072.0,39634536.0
10,final_total_AGB_net_undisturbed_forest,79254272.0,39627136.0
10,final_total_AGB_gross_minus_net_undisturbed_forest,14800.0,7400.0
11,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
11,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
11,final_total_AGB_gross_forest,142863024.0,71431512.0
11,final_total_AGB_net_forest,99898344.0,49949172.0
11,final_total_AGB_gross_minus_net_forest,42964680.0,21482340.0
11,final_total_AGB_agroforestry,42945724.0,21472862.0
11,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
11,final_total_AGB_gross_disturbed_forest,20566366.0,10283183.0
11,final_total_AGB_net_disturbed_forest,20562262.0,10283183.0
11,final_total_AGB_gross_minus_net_disturbed_forest,4104.0,0.0
11,final_total_AGB_gross_undisturbed_forest,79350936.0,39675468.0
11,final_total_AGB_net_undisturbed_forest,79336080.0,39668040.0
11,final_total_AGB_gross_minus_net_undisturbed_forest,14856.0,7428.0
12,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
12,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
12,final_total_AGB_gross_forest,144141232.0,72070616.0
12,final_total_AGB_net_forest,100119976.0,50059988.0
12,final_total_AGB_gross_minus_net_forest,44021256.0,22010628.0
12,final_total_AGB_agroforestry,44002072.0,22001036.0
12,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
12,final_total_AGB_gross_disturbed_forest,20714186.0,10357093.0
12,final_total_AGB_net_disturbed_forest,20709900.0,10357093.0
12,final_total_AGB_gross_minus_net_disturbed_forest,4286.0,0.0
12,final_total_AGB_gross_undisturbed_forest,79424976.0,39712488.0
12,final_total_AGB_net_undisturbed_forest,79410072.0,39705036.0
12,final_total_AGB_gross_minus_net_undisturbed_forest,14904.0,7452.0
13,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
13,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
13,final_total_AGB_gross_forest,145343888.0,72671944.0
13,final_total_AGB_net_forest,100326280.0,50163140.0
13,final_total_AGB_gross_minus_net_forest,45017608.0,22508804.0
13,final_total_AGB_agroforestry,44998180.0,22499090.0
13,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
13,final_total_AGB_gross_disturbed_forest,20853526.0,10426763.0
13,final_total_AGB_net_disturbed_forest,20849058.0,10426763.0
13,final_total_AGB_gross_minus_net_disturbed_forest,4468.0,0.0
13,final_total_AGB_gross_undisturbed_forest,79492176.0,39746088.0
13,final_total_AGB_net_undisturbed_forest,79477224.0,39738612.0
13,final_total_AGB_gross_minus_net_undisturbed_forest,14952.0,7476.0
14,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
14,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
14,final_total_AGB_gross_forest,146471152.0,73235576.0
14,final_total_AGB_net_forest,100520856.0,50260428.0
14,final_total_AGB_gross_minus_net_forest,45950296.0,22975148.0
14,final_total_AGB_agroforestry,45930644.0,22965322.0
14,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
14,final_total_AGB_gross_disturbed_forest,20986868.0,10493434.0
14,final_total_AGB_net_disturbed_forest,20982218.0,10493434.0
14,final_total_AGB_gross_minus_net_disturbed_forest,4650.0,0.0
14,final_total_AGB_gross_undisturbed_forest,79553640.0,39776820.0
14,final_total_AGB_net_undisturbed_forest,79538640.0,39769320.0
14,final_total_AGB_gross_minus_net_undisturbed_forest,15000.0,7500.0
15,potential_maximum_undisturbed_AGB,277411136.0,138705568.0
15,initial_AGB_gross_forest_simulation_start,227781376.0,113890688.0
15,final_total_AGB_gross_forest,147527392.0,73763696.0
15,final_total_AGB_net_forest,100704056.0,50352028.0
15,final_total_AGB_gross_minus_net_forest,46823336.0,23411668.0
15,final_total_AGB_agroforestry,46803288.0,23401644.0
15,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
15,final_total_AGB_gross_disturbed_forest,21114362.0,10557181.0
15,final_total_AGB_net_disturbed_forest,21109356.0,10557181.0
15,final_total_AGB_gross_minus_net_disturbed_forest,5006.0,0.0
15,final_total_AGB_gross_undisturbed_forest,79609744.0,39804872.0
15,final_total_AGB_net_undisturbed_forest,79594696.0,39797348.0
15,final_total_AGB_gross_minus_net_undisturbed_forest,15048.0,7524.0
