YEAR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,regional_AGB_demand_per_population_total,regional_smallholder_share_in_percent
2067,0,1862138,1862138,1862138,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,44.78
2068,0,1880760,1880760,1880760,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,44.53
2069,0,1899567,1899567,1899567,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,44.28
2070,0,1918563,1918563,1918563,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,44.03
2071,0,1937749,1937749,1937749,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,43.78
2072,0,1957126,1957126,1957126,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,43.53
2073,0,1976697,1976697,1976697,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,43.28
2074,0,1996464,1996464,1996464,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,43.03
2075,0,2016429,2016429,2016429,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,42.78
2076,0,2036593,2036593,2036593,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,42.53
2077,0,2056959,2056959,2056959,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,42.28
2078,0,2077529,2077529,2077529,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,42.03
2079,0,2098304,2098304,2098304,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,41.78
2080,0,2119287,2119287,2119287,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,41.53
2081,0,2140480,2140480,2140480,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,41.28
2082,0,2161885,2161885,2161885,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,41.03
2083,0,2183504,2183504,2183504,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,40.78
2084,0,2205339,2205339,2205339,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,40.53
2085,0,2227392,2227392,2227392,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,40.28
2086,0,2249666,2249666,2249666,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,40.03
2087,0,2272163,2272163,2272163,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,39.78
2088,0,2294884,2294884,2294884,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,39.53
2089,0,2317833,2317833,2317833,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,39.28
2090,0,2341012,2341012,2341012,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,39.03
2091,0,2364422,2364422,2364422,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,38.78
2092,0,2388066,2388066,2388066,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,38.53
2093,0,2411947,2411947,2411947,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,38.28
2094,0,2436066,2436066,2436066,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,38.03
2095,0,2460427,2460427,2460427,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,37.78
2096,0,2485031,2485031,2485031,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,37.53
2097,0,2509881,2509881,2509881,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,37.28
2098,0,2534980,2534980,2534980,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,37.03
2099,0,2560330,2560330,2560330,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,36.78
2100,1,2585933,2585933,2585933,119725,0,0,0,0,0,0,0,0,0,0,0,0,0,11846.522,36.53
