"LPB-basic log file" ECUADOR Esmeraldas SSP2-4.5 "weak_conservation scenario"
YEAR,population,settlements,smallholder population based on external time series,ha demand built-up,ha demand cropland-annual,ha demand pasture,ha demand agroforestry,ha demand plantation,demand AGB in Mg
2086,566991,1121,258775,maximum demand noted in LUT01 log-file,14399,495850,381140,8,739.357
2087,565459,1121,257228,maximum demand noted in LUT01 log-file,14428,498784,382352,7,705.653
2088,563928,1121,255685,maximum demand noted in LUT01 log-file,14459,501749,383582,6,673.481
2089,562397,1121,254148,maximum demand noted in LUT01 log-file,14492,504756,384834,6,642.772
2090,560866,1121,252615,maximum demand noted in LUT01 log-file,14523,507800,386110,5,613.458
2091,558933,1121,250682,maximum demand noted in LUT01 log-file,14570,511329,387745,4,585.056
2092,557000,1121,248757,maximum demand noted in LUT01 log-file,14617,514918,389420,4,557.962
2093,555067,1121,246839,maximum demand noted in LUT01 log-file,14665,518570,391132,3,532.117
2094,553135,1121,244929,maximum demand noted in LUT01 log-file,14713,522285,392879,3,507.463
2095,551202,1121,242970,maximum demand noted in LUT01 log-file,14761,525946,394579,2,483.945
2096,549269,1121,241020,maximum demand noted in LUT01 log-file,14811,529673,396319,2,461.511
2097,547337,1121,239132,maximum demand noted in LUT01 log-file,14865,533588,398191,2,440.113
2098,545404,1121,237197,maximum demand noted in LUT01 log-file,14918,537453,400014,2,419.701
2099,543471,1121,235269,maximum demand noted in LUT01 log-file,14971,541387,401882,1,400.23
2100,541539,1121,233296,maximum demand noted in LUT01 log-file,15022,545269,403698,1,381.658

Population peak:,"(2060, 584581)"

LPB-basic modelling based on pseudo random sampling with # of samples:,49
